reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        71.6143
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0253 s  (  0.035 % del total)
empaquetar AoS->SoA (host)                                  2.1129 s  (  2.950 % del total)
copia host->device (H2D)                                    0.5532 s  (  0.772 % del total)
lanza_pipeline (grafo CUDA, device)                        62.2402 s  ( 86.910 % del total)
copia device->host (D2H)                                    0.9023 s  (  1.260 % del total)
desempaquetar SoA->AoS (host)                               3.5051 s  (  4.894 % del total)
reparticion/compactacion                                    0.7895 s  (  1.102 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0131 s  (  0.018 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0250 s  (  0.035 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1766 s  (  0.247 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            7.0734 s  (  9.877 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.2147 s  (  0.300 % del total)
pasodmc_gpu_pipeline completo                              71.0152 s  ( 99.163 % del total)
otros (E/S por bloque, promedios...)                        0.3845 s  (  0.537 % del total)
