reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        32.8187
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0205 s  (  0.062 % del total)
empaquetar AoS->SoA (host)                                  0.3740 s  (  1.139 % del total)
copia host->device (H2D)                                    0.1984 s  (  0.605 % del total)
lanza_pipeline (grafo CUDA, device)                        27.6368 s  ( 84.211 % del total)
copia device->host (D2H)                                    0.3612 s  (  1.100 % del total)
desempaquetar SoA->AoS (host)                               0.9368 s  (  2.855 % del total)
reparticion/compactacion                                    0.2335 s  (  0.711 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0032 s  (  0.010 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0280 s  (  0.085 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0576 s  (  0.176 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.8703 s  (  5.699 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0889 s  (  0.271 % del total)
pasodmc_gpu_pipeline completo                              29.9650 s  ( 91.305 % del total)
otros (E/S por bloque, promedios...)                        2.7648 s  (  8.424 % del total)
