reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        43.3566
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0238 s  (  0.055 % del total)
empaquetar AoS->SoA (host)                                  0.9143 s  (  2.109 % del total)
copia host->device (H2D)                                    0.3262 s  (  0.752 % del total)
lanza_pipeline (grafo CUDA, device)                        38.4117 s  ( 88.595 % del total)
copia device->host (D2H)                                    0.5757 s  (  1.328 % del total)
desempaquetar SoA->AoS (host)                               1.8507 s  (  4.269 % del total)
reparticion/compactacion                                    0.4020 s  (  0.927 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0051 s  (  0.012 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0252 s  (  0.058 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0884 s  (  0.204 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            3.6670 s  (  8.458 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1187 s  (  0.274 % del total)
pasodmc_gpu_pipeline completo                              42.8942 s  ( 98.933 % del total)
otros (E/S por bloque, promedios...)                        0.3437 s  (  0.793 % del total)
