771857986,26475995,296,32,1,1,128,1,1,126,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,13,mdmc2_pipeline_k_derananum_t_
771858178,8574806,296,32,1,1,128,1,1,106,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,16,mdmc2_pipeline_k_vpot_t_
798359389,25964352,296,32,1,1,128,1,1,126,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,13,mdmc2_pipeline_k_derananum_t_
798359613,8989010,296,32,1,1,128,1,1,106,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,16,mdmc2_pipeline_k_vpot_t_
834626083,26479003,321,32,1,1,128,1,1,126,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,13,mdmc2_pipeline_k_derananum_t_
834626307,8701717,321,32,1,1,128,1,1,106,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,16,mdmc2_pipeline_k_vpot_t_
861130238,26300668,321,32,1,1,128,1,1,126,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,13,mdmc2_pipeline_k_derananum_t_
861130430,9108593,321,32,1,1,128,1,1,106,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,16,mdmc2_pipeline_k_vpot_t_
897142950,20753133,346,32,1,1,128,1,1,126,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,13,mdmc2_pipeline_k_derananum_t_
897143142,7176642,346,32,1,1,128,1,1,106,0.000,0.000,,,,,NVIDIA GeForce RTX 4060 Laptop GPU (0),1,16,mdmc2_pipeline_k_vpot_t_
