reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        70.4595
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0391 s  (  0.055 % del total)
empaquetar AoS->SoA (host)                                  2.6539 s  (  3.767 % del total)
copia host->device (H2D)                                    0.6213 s  (  0.882 % del total)
lanza_pipeline (grafo CUDA, device)                        59.3563 s  ( 84.242 % del total)
copia device->host (D2H)                                    0.9946 s  (  1.412 % del total)
desempaquetar SoA->AoS (host)                               4.0084 s  (  5.689 % del total)
reparticion/compactacion                                    0.9512 s  (  1.350 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0154 s  (  0.022 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0307 s  (  0.044 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.2022 s  (  0.287 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            8.2782 s  ( 11.749 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.2484 s  (  0.353 % del total)
pasodmc_gpu_pipeline completo                              69.8378 s  ( 99.118 % del total)
otros (E/S por bloque, promedios...)                        0.3733 s  (  0.530 % del total)
